event_number,start_time,end_time,duration_hours,max_customers_out,total_customers_out,num_outages,num_restores,customer_hours,counties_affected,max_sknt,min_sknt,avg_sknt,max_gust,min_gust,avg_gust,max_tmpf,min_tmpf,avg_tmpf,total_p01i,max_p01i,avg_p01i
155,2015-01-01 18:45:00,2015-01-01 19:15:00,0.5,3884,3884,2,1,1940.0,Los Angeles,7.0,0.0,3.8541667,0.0,0.0,0.0,55.0,38.0,49.60875,0.0,0.0,0.0
157,2015-01-02 16:30:00,2015-01-02 20:30:00,4.0,5680,5723,9,6,18056.75,Los Angeles,9.0,0.0,2.5661764,0.0,0.0,0.0,60.0,21.0,49.06765,0.0,0.0,0.0
159,2015-01-02 23:15:00,2015-01-03 03:30:00,4.25,4665,4734,9,9,18064.0,Los Angeles,9.0,0.0,3.8298612,0.0,0.0,0.0,60.8,33.0,51.506943,0.0,0.0,0.0
161,2015-01-03 15:45:00,2015-01-03 17:00:00,1.25,4195,4262,3,3,5176.5,Los Angeles,8.0,0.0,2.1041667,0.0,0.0,0.0,56.84,24.0,43.002502,0.0,0.0,0.0
163,2015-01-04 06:30:00,2015-01-04 10:30:00,4.0,5800,5840,5,5,16618.75,Los Angeles,9.0,0.0,1.9632353,0.0,0.0,0.0,56.84,26.0,45.665295,0.0,0.0,0.0
165,2015-01-04 10:45:00,2015-01-04 19:15:00,8.5,7537,10590,13,9,43935.0,Los Angeles,9.0,0.0,2.3375,0.0,0.0,0.0,62.0,24.0,45.93089,0.0,0.0,0.0
167,2015-01-04 20:00:00,2015-01-04 22:00:00,2.0,4087,4088,2,6,8090.25,Los Angeles,14.0,0.0,3.8333333,0.0,0.0,0.0,71.6,51.0,61.93069,0.0,0.0,0.0
169,2015-01-04 23:15:00,2015-01-05 10:45:00,11.5,5867,7241,18,19,53404.5,Los Angeles,17.0,0.0,4.24867,28.0,0.0,0.625,70.0,27.0,53.47774,0.0,0.0,0.0
172,2015-01-08 16:45:00,2015-01-08 18:15:00,1.5,4870,4870,5,2,6671.5,Los Angeles,10.0,0.0,2.8214285,0.0,0.0,0.0,68.0,38.0,59.924995,0.0,0.0,0.0
174,2015-01-08 19:15:00,2015-01-08 19:30:00,0.25,6287,6287,1,1,1571.75,Los Angeles,10.0,0.0,3.0,0.0,0.0,0.0,71.6,55.0,66.3125,0.0,0.0,0.0
176,2015-01-09 05:30:00,2015-01-09 05:45:00,0.25,4406,4406,1,1,1101.5,Los Angeles,10.0,0.0,1.8125,0.0,0.0,0.0,68.0,50.0,59.23375,0.0,0.0,0.0
178,2015-01-09 16:30:00,2015-01-10 00:30:00,8.0,6669,8154,15,15,43110.75,Los Angeles,11.0,0.0,3.0094697,0.0,0.0,0.0,73.0,45.0,64.06432,0.0,0.0,0.0
180,2015-01-10 21:45:00,2015-01-10 22:00:00,0.25,4170,4170,1,1,1042.5,Los Angeles,8.0,0.0,2.1875,0.0,0.0,0.0,63.86,50.0,58.51625,0.2608,0.04,0.00815
182,2015-01-11 00:15:00,2015-01-11 00:30:00,0.25,5583,5583,1,1,1395.75,Los Angeles,6.0,0.0,2.0,0.0,0.0,0.0,63.86,48.0,56.7975,0.3807,0.05,0.011896875
184,2015-01-11 06:15:00,2015-01-11 07:30:00,1.25,4709,4717,2,3,5760.75,Los Angeles,10.0,0.0,2.5208333,0.0,0.0,0.0,63.86,46.0,54.635834,2.1810002,0.09,0.022718752
186,2015-01-11 11:00:00,2015-01-11 12:15:00,1.25,5981,5981,3,3,6843.25,Los Angeles,14.0,0.0,3.09375,0.0,0.0,0.0,60.8,37.4,53.329163,3.6804998,0.14,0.03833854
188,2015-01-11 13:00:00,2015-01-11 13:45:00,0.75,5274,5274,1,1,3955.5,Los Angeles,15.0,0.0,3.421875,21.0,0.0,0.65625,60.8,37.4,53.190624,1.3608999,0.14,0.021264061
190,2015-01-11 14:00:00,2015-01-11 14:15:00,0.25,3872,3872,1,1,968.0,Los Angeles,14.0,0.0,3.3125,21.0,0.0,1.3125,60.8,37.4,53.3375,0.5908,0.12,0.0184625
